FWHM_l (meV),FWHM_g (meV),RP,3P1V Ratio
116.5,10.0,40076,0.3846228376390507
116.5,20.0,20038,0.3919615961487976
116.5,30.0,13358,0.4037964418740131
116.5,40.0,10019,0.4197769605941138
116.5,50.0,8015,0.4396319762661132
116.5,60.0,6679,0.46326982452164134
116.5,70.0,5725,0.4905494182515891
116.5,80.0,5009,0.5211757428605136
116.5,90.0,4452,0.5545471918582938
116.5,100.0,4007,0.5897723882042142
116.5,110.0,3643,0.6259515308705748
116.5,120.0,3339,0.6620613785517119
116.5,130.0,3082,0.6971222480650717
116.5,140.0,2862,0.7302742080982949
116.5,150.0,2671,0.7608270910301629
117.0,10.0,40076,0.3868414939132653
117.0,20.0,20038,0.39416402145037877
117.0,30.0,13358,0.40597555312709066
117.0,40.0,10019,0.4219347730492632
117.0,50.0,8015,0.4417603254577027
117.0,60.0,6679,0.46535250544495993
117.0,70.0,5725,0.49256944549964815
117.0,80.0,5009,0.5231107920707917
117.0,90.0,4452,0.5563495967137565
117.0,100.0,4007,0.5914393833112824
117.0,110.0,3643,0.6274633209876348
117.0,120.0,3339,0.663403902835905
117.0,130.0,3082,0.6982880153716583
117.0,140.0,2862,0.7312623049041783
117.0,150.0,2671,0.761642598843846
117.5,10.0,40076,0.3890564940351861
117.5,20.0,20038,0.3963626503603724
117.5,30.0,13358,0.4081505785685287
117.5,40.0,10019,0.42408039154933524
117.5,50.0,8015,0.44388363510997814
117.5,60.0,6679,0.4674294469324487
117.5,70.0,5725,0.4945830289096874
117.5,80.0,5009,0.5250387921352265
117.5,90.0,4452,0.5581445248326098
117.5,100.0,4007,0.593098743217284
117.5,110.0,3643,0.6289675580081201
117.5,120.0,3339,0.6647391764630423
117.5,130.0,3082,0.6994470173213961
117.5,140.0,2862,0.7322442583946746
117.5,150.0,2671,0.7624526732461723
118.0,10.0,40076,0.3912677664393134
118.0,20.0,20038,0.39855741316295207
118.0,30.0,13358,0.41032145238002427
118.0,40.0,10019,0.426221409087723
118.0,50.0,8015,0.44600185285975774
118.0,60.0,6679,0.4695006070716908
118.0,70.0,5725,0.4965901386541532
118.0,80.0,5009,0.5269597258900653
118.0,90.0,4452,0.5599319719393852
118.0,100.0,4007,0.5947504738213112
118.0,110.0,3643,0.6304642559059103
118.0,120.0,3339,0.6660672192361984
118.0,130.0,3082,0.7005992773792467
118.0,140.0,2862,0.7332200937429337
118.0,150.0,2671,0.7632573394653985
118.5,10.0,40076,0.39347524044625787
118.5,20.0,20038,0.4007482410252676
118.5,30.0,13358,0.4124881096133224
118.5,40.0,10019,0.42835776686512544
118.5,50.0,8015,0.4481149271607975
118.5,60.0,6679,0.4715659447206241
118.5,70.0,5725,0.4985907456011386
118.5,80.0,5009,0.5288570846897016
118.5,90.0,4452,0.5617119342298204
118.5,100.0,4007,0.5963945813782596
118.5,110.0,3643,0.6319534289033227
118.5,120.0,3339,0.667388051112546
118.5,130.0,3082,0.7017448190854894
118.5,140.0,2862,0.7341898361353157
118.5,150.0,2671,0.7640566226976214
119.0,10.0,40076,0.3956788462613489
119.0,20.0,20038,0.4029350659959404
119.0,30.0,13358,0.4146504861884892
119.0,40.0,10019,0.4304894069294796
119.0,50.0,8015,0.4502099567801338
119.0,60.0,6679,0.4736254195035549
119.0,70.0,5725,0.500584821309633
119.0,80.0,5009,0.5307428142190128
119.0,90.0,4452,0.5634844083659951
119.0,100.0,4007,0.5980310724944159
119.0,110.0,3643,0.6334350914673148
119.0,120.0,3339,0.6687016922002513
119.0,130.0,3082,0.7028836660533144
119.0,140.0,2862,0.7351535107696544
119.0,150.0,2671,0.7648505481056566
119.5,10.0,40076,0.3978785149731213
119.5,20.0,20038,0.4051178210034391
119.5,30.0,13358,0.4168085188920609
119.5,40.0,10019,0.4326162721735551
119.5,50.0,8015,0.45229773693410796
119.5,60.0,6679,0.47567899180710865
119.5,70.0,5725,0.5025723380247433
119.5,80.0,5009,0.5326213971571915
119.5,90.0,4452,0.5652493914714598
119.5,100.0,4007,0.5996599541230612
119.5,110.0,3643,0.63490925830571
119.5,120.0,3339,0.6700081627553865
119.5,130.0,3082,0.7040158419664485
119.5,140.0,2862,0.7361111428535536
119.5,150.0,2671,0.7656391408179337
