,time,ks01,accelerator_current,kth01,pgm_en_setpoint,pgm_en
0,1733397388.4502828,2.8844e-06,297.3708449,1.01646e-10,400.2,400.20087875027843
1,1733397390.1798234,2.8818e-06,297.3476072,1.02872e-10,400.2202247191011,400.21919529562285
2,1733397391.735537,2.8801e-06,297.3201682,1.04765e-10,400.24044943820223,400.23698056307296
3,1733397393.4402428,2.8848e-06,297.3089876,1.07016e-10,400.26067415730336,400.25914815670626
4,1733397394.9964244,2.8806e-06,297.2829322,1.09461e-10,400.2808988764045,400.28041743105354
5,1733397396.6697662,2.89e-06,297.2717994,1.12899e-10,400.3011235955056,400.3000136783476
6,1733397398.2395668,2.8824e-06,297.2453899,1.1588e-10,400.3213483146067,400.3201670235533
7,1733397399.8359997,2.8789e-06,297.2204825,1.19449e-10,400.34157303370785,400.33595305928935
8,1733397401.6949186,2.8777e-06,297.2098059,1.24656e-10,400.36179775280897,400.35955153009616
9,1733397403.2558994,2.8775e-06,297.1848006,1.2892e-10,400.3820224719101,400.3812864187913
10,1733397404.7505784,2.876e-06,297.1615666,1.33925e-10,400.4022471910112,400.39937467160655
11,1733397406.4070213,2.8678e-06,297.147878,1.40171e-10,400.42247191011234,400.42103098346263
12,1733397407.999378,2.8831e-06,297.12496480000004,1.47547e-10,400.44269662921346,400.4421961024057
13,1733397409.5521061,2.8658e-06,297.10987140000003,1.55036e-10,400.4629213483146,400.4602244260959
14,1733397411.2902849,2.8751e-06,297.0843112,1.66436e-10,400.4831460674157,400.48128537401203
15,1733397412.7816098,2.8655e-06,297.05976499999997,1.75633e-10,400.5033707865168,400.4997596025416
16,1733397414.5289273,2.8624e-06,297.0458329,1.89267e-10,400.52359550561795,400.5209872115161
17,1733397416.135432,2.8586e-06,297.0242569,1.77122e-10,400.54382022471907,400.54347612631165
18,1733397417.7185814,2.8554e-06,296.9974044,2.2985e-10,400.5640449438202,400.5621102635767
19,1733397419.3783827,2.8476e-06,296.9874498,2.5706e-10,400.5842696629213,400.5835263510904
20,1733397420.9915185,2.8362e-06,296.9605502,2.9053e-10,400.60449438202244,400.6041655752155
21,1733397422.6528735,2.8392e-06,296.95027769999996,3.3993e-10,400.62471910112356,400.6238287151321
22,1733397424.295136,2.8166e-06,296.92438119999997,4.0284e-10,400.6449438202247,400.6431028474418
23,1733397426.127702,2.8143e-06,296.9012451,5.0573e-10,400.66516853932586,400.66365619432315
24,1733397427.65458,2.7947e-06,296.8747745,6.3513e-10,400.685393258427,400.68185838915605
25,1733397429.3505797,2.7727e-06,296.8588267,8.6937e-10,400.7056179775281,400.7047475460036
26,1733397431.1943243,2.7402e-06,296.8358046,1.1961e-09,400.72584269662923,400.7248014236597
27,1733397433.0345027,2.6879e-06,296.8137628,1.4843e-09,400.74606741573035,400.7454443654089
28,1733397434.9895377,2.677e-06,296.78453340000004,1.603e-09,400.7662921348315,400.7662519909229
29,1733397436.714839,2.6965e-06,296.7613516,1.5021e-09,400.7865168539326,400.7830259861576
30,1733397438.555084,2.7154e-06,296.75001860000003,1.2741e-09,400.8067415730337,400.8052695401291
31,1733397440.1954415,2.7187e-06,296.725839,1.01535e-09,400.82696629213484,400.8250404831802
32,1733397441.7503743,2.7524e-06,296.7011464,8.7684e-10,400.84719101123596,400.840471995192
33,1733397443.4325056,2.7515e-06,296.6885447,7.6473e-10,400.8674157303371,400.8654899783817
34,1733397444.9895916,2.7431e-06,296.6622626,7.4e-10,400.8876404494382,400.8862122571779
35,1733397446.561398,2.7431e-06,296.6508701,7.8866e-10,400.90786516853933,400.9047595027345
36,1733397448.1430137,2.7167e-06,296.6250508,9.2492e-10,400.92808988764045,400.92769142713126
37,1733397449.7284884,2.6749e-06,296.6006754,1.2063e-09,400.9483146067416,400.94544231217117
38,1733397451.5812182,2.6623e-06,296.5888317,1.4386e-09,400.9685393258427,400.9685498390721
39,1733397453.410548,2.6382e-06,296.5619138,1.5531e-09,400.9887640449438,400.98785717967303
40,1733397455.2506845,2.6383e-06,296.5388306,1.5069e-09,401.00898876404494,401.0079834702171
41,1733397457.0893662,2.6586e-06,296.51538980000004,1.3174e-09,401.02921348314607,401.0283639032417
42,1733397458.7138164,2.6834e-06,296.5004811,1.06622e-09,401.0494382022472,401.0455510753633
43,1733397460.4042706,2.6999e-06,296.4757583,8.797e-10,401.0696629213483,401.0687643389909
44,1733397462.0034516,2.7083e-06,296.45200919999996,7.6725e-10,401.08988764044943,401.08871685449344
45,1733397463.5577543,2.7064e-06,296.4405474,6.5104e-10,401.11011235955056,401.10775730048937
46,1733397465.1895895,2.7185e-06,296.4145074,6.0217e-10,401.1303370786517,401.12938267456656
47,1733397466.756348,2.7304e-06,298.311852,6.083e-10,401.1505617977528,401.14829865795025
48,1733397468.5447419,2.7134e-06,298.2963531,6.5478e-10,401.1707865168539,401.1698352703103
49,1733397470.1449332,2.7032e-06,298.2725208,7.3198e-10,401.19101123595505,401.1904511739257
50,1733397471.6658201,2.6876e-06,298.260265,8.3722e-10,401.21123595505617,401.20891736854173
51,1733397473.3615344,2.6621e-06,298.2353693,9.2937e-10,401.2314606741573,401.23031916434854
52,1733397474.9913387,2.6623e-06,298.2115098,9.4686e-10,401.2516853932584,401.25073085963004
53,1733397476.5809314,2.6671e-06,298.1980096,8.9129e-10,401.27191011235954,401.270228770634
54,1733397478.2621763,2.6858e-06,298.1728372,7.7162e-10,401.29213483146066,401.2911077497156
55,1733397479.7378767,2.6932e-06,298.1481167,6.6321e-10,401.3123595505618,401.3091360039379
56,1733397481.4301558,2.6857e-06,298.1366947,5.4118e-10,401.3325842696629,401.33197719769237
57,1733397483.1819546,2.7103e-06,298.1098937,4.4472e-10,401.352808988764,401.3518940194211
58,1733397484.9807098,2.6955e-06,298.0844248,3.9929e-10,401.37303370786515,401.371905820726
59,1733397486.5931137,2.702e-06,298.0706207,3.7407e-10,401.39325842696627,401.3911068554098
60,1733397488.3682213,2.6981e-06,298.04710769999997,3.6546e-10,401.4134831460674,401.4131235053633
61,1733397490.1451697,2.7016e-06,298.0237133,3.7958e-10,401.4337078651685,401.43248114552637
62,1733397491.7450142,2.6926e-06,297.99539999999996,4.0546e-10,401.45393258426964,401.4512373984358
63,1733397493.638245,2.6901e-06,297.9837705,4.4911e-10,401.47415730337076,401.4739158461835
64,1733397495.3568873,2.6801e-06,297.95973,4.7423e-10,401.4943820224719,401.4935687901683
65,1733397497.129021,2.6696e-06,297.9350668,4.677e-10,401.514606741573,401.5139407474567
66,1733397499.0169384,2.6702e-06,297.90774700000003,4.2553e-10,401.5348314606741,401.5327440947132
67,1733397500.8169992,2.6769e-06,297.883368,3.6886e-10,401.5550561797753,401.55177773223687
68,1733397502.6338084,2.6791e-06,297.8718084,3.13e-10,401.57528089887643,401.57268071299563
69,1733397504.2345707,2.6799e-06,297.846098,2.7229e-10,401.59550561797755,401.5939382126426
70,1733397506.008527,2.6685e-06,297.8236396,2.3735e-10,401.6157303370787,401.61435690942056
71,1733397507.6807208,2.6671e-06,297.8077779,2.1715e-10,401.6359550561798,401.63432356849
72,1733397509.3770068,2.6651e-06,297.7827189,2.0935e-10,401.6561797752809,401.65541571693154
73,1733397511.1339154,2.6625e-06,297.7581345,2.1091e-10,401.67640449438204,401.6746283402342
74,1733397512.9928021,2.6545e-06,297.7329326,2.1926e-10,401.69662921348316,401.6952059199506
75,1733397514.9867322,2.6531e-06,297.7095536,2.3202e-10,401.7168539325843,401.71462340733564
76,1733397516.5683482,2.6482e-06,297.6965899,2.3576e-10,401.7370786516854,401.7345022336791
77,1733397518.2128894,2.6401e-06,297.6720695,2.2698e-10,401.75730337078653,401.7562504279224
78,1733397520.0047622,2.6366e-06,297.64724889999997,2.0576e-10,401.77752808988765,401.7756691100174
79,1733397521.7522755,2.6331e-06,297.6222841,1.70364e-10,401.7977528089888,401.79526570154917
80,1733397523.433088,2.6311e-06,297.60915620000003,1.61472e-10,401.8179775280899,401.81650978322585
81,1733397524.9925678,2.6195e-06,297.585764,1.47399e-10,401.838202247191,401.83662661628665
82,1733397526.5525432,2.6203e-06,297.5705241,1.3754e-10,401.85842696629214,401.8563378173949
83,1733397528.1491928,2.6144e-06,297.5476154,1.32309e-10,401.87865168539327,401.87751264244383
84,1733397529.669695,2.6064e-06,297.5343448,1.30452e-10,401.8988764044944,401.8956069544542
85,1733397531.132885,2.5938e-06,297.5111498,1.31331e-10,401.9191011235955,401.918708461735
86,1733397532.6680865,2.5801e-06,297.48587729999997,1.33724e-10,401.93932584269663,401.9359255264682
87,1733397533.995718,2.5752e-06,297.4731601,1.34648e-10,401.95955056179776,401.95715195654515
88,1733397535.548676,2.5711e-06,297.4588144,1.32045e-10,401.9797752808989,401.9758887697319
89,1733397537.1329145,2.5725e-06,297.4325653,1.25473e-10,402.0,401.998114965322
