,time,ks01,accelerator_current,kth01,pgm_en_setpoint,pgm_en
0,1733399409.5575316,2.8402e-06,297.807293,9.7561e-11,400.2,400.1975100956868
1,1733399411.1403866,2.8388e-06,297.7820028,9.8237e-11,400.2202247191011,400.22264148151964
2,1733399412.6982276,2.8412e-06,297.7677402,9.9654e-11,400.24044943820223,400.23631343232967
3,1733399414.1398993,2.8416e-06,297.7450081,1.01514e-10,400.26067415730336,400.26220756907367
4,1733399415.6996076,2.8397e-06,297.720827,1.03896e-10,400.2808988764045,400.2764890707925
5,1733399417.2599506,2.8418e-06,297.7087419,1.06221e-10,400.3011235955056,400.30136755324065
6,1733399418.9630353,2.8347e-06,297.6845483,1.09136e-10,400.3213483146067,400.3215135086391
7,1733399420.4950516,2.8393e-06,297.671274,1.12049e-10,400.34157303370785,400.33975669018105
8,1733399422.1752815,2.8396e-06,297.6455129,1.15269e-10,400.36179775280897,400.36154312266746
9,1733399423.7356114,2.8387e-06,297.62170860000003,1.18506e-10,400.3820224719101,400.3788753772903
10,1733399425.4312177,2.8327e-06,297.6082621,1.22548e-10,400.4022471910112,400.40069610647515
11,1733399426.976264,2.8267e-06,297.5844011,1.27048e-10,400.42247191011234,400.4209385890722
12,1733399428.4326642,2.8162e-06,297.57262729999997,1.32141e-10,400.44269662921346,400.44236589235254
13,1733399430.1277258,2.8321e-06,297.54445019999997,1.38981e-10,400.4629213483146,400.4609426849962
14,1733399431.5476034,2.8114e-06,297.5338098,1.43975e-10,400.4831460674157,400.47881319956326
15,1733399433.2438035,2.829e-06,297.5092408,1.53097e-10,400.5033707865168,400.50267843507373
16,1733399434.9780183,2.8367e-06,297.4841119,1.61979e-10,400.52359550561795,400.52311903337636
17,1733399436.5798032,2.8269e-06,297.47275460000003,1.7244e-10,400.54382022471907,400.5423229073922
18,1733399438.3760414,2.7856e-06,297.4454746,1.86212e-10,400.5640449438202,400.56284426724244
19,1733399440.0018966,2.8193e-06,297.4221905,2.0455e-10,400.5842696629213,400.5838216412316
20,1733399441.5469313,2.7993e-06,297.40981039999997,2.2412e-10,400.60449438202244,400.6032008450777
21,1733399443.143386,2.8082e-06,297.38454229999996,2.4875e-10,400.62471910112356,400.62349304172335
22,1733399444.8231246,2.7824e-06,297.3583434,2.8427e-10,400.6449438202247,400.64244207279114
23,1733399446.580361,2.7833e-06,297.3455496,3.2998e-10,400.66516853932586,400.66206951951216
24,1733399448.2482471,2.7565e-06,297.3246536,3.9739e-10,400.685393258427,400.6850000816936
25,1733399449.8157215,2.7648e-06,297.298317,4.8934e-10,400.7056179775281,400.69929352703787
26,1733399451.4948888,2.7481e-06,297.286959,6.3063e-10,400.72584269662923,400.72314228942645
27,1733399453.1795442,2.7303e-06,297.2608116,8.5528e-10,400.74606741573035,400.7454035626002
28,1733399455.0354006,2.6936e-06,297.2366591,1.1602e-09,400.7662921348315,400.7656243445125
29,1733399456.9820914,2.6709e-06,297.2096381,1.379e-09,400.7865168539326,400.78468641316897
30,1733399458.7147374,2.6573e-06,297.1973787,1.498e-09,400.8067415730337,400.8040332527709
31,1733399460.5550818,2.6594e-06,297.1734912,1.4388e-09,400.82696629213484,400.8257070924439
32,1733399462.3942494,2.6687e-06,297.1500504,1.283e-09,400.84719101123596,400.84616968746155
33,1733399464.4748971,2.6916e-06,297.1244291,1.0868e-09,400.8674157303371,400.86713004738573
34,1733399465.9944954,2.6974e-06,297.1000397,9.7504e-10,400.8876404494382,400.88663251258345
35,1733399467.6347256,2.7045e-06,297.088617,8.3856e-10,400.90786516853933,400.90443208736457
36,1733399469.1549208,2.683e-06,297.061306,7.9936e-10,400.92808988764045,400.9267413296647
37,1733399470.7162151,2.6943e-06,297.03553980000004,8.2835e-10,400.9483146067416,400.9445157923149
