,time,ks01,accelerator_current,kth01,pgm_en_setpoint,pgm_en
0,1733397036.3600218,2.9219e-06,296.7494593,1.03159e-10,400.2,400.20171496018884
1,1733397037.9953263,2.9204e-06,296.72350170000004,1.04175e-10,400.2202247191011,400.21944348272154
2,1733397039.5238707,2.9219e-06,296.7109442,1.06571e-10,400.24044943820223,400.23762640605446
3,1733397041.3487446,2.9228e-06,296.6854952,1.09534e-10,400.26067415730336,400.2594752395108
4,1733397043.1261876,2.923e-06,296.6595272,1.12408e-10,400.2808988764045,400.2796079219136
5,1733397044.7066443,2.9213e-06,296.6490038,1.15208e-10,400.3011235955056,400.29842333894476
6,1733397046.3752005,2.9237e-06,296.6258287,1.18942e-10,400.3213483146067,400.32083023195224
7,1733397047.9959707,2.9239e-06,296.6002118,1.2293e-10,400.34157303370785,400.3406778879362
8,1733397049.7236354,2.9203e-06,296.5751557,1.28334e-10,400.36179775280897,400.3606454462726
9,1733397051.4189627,2.9177e-06,296.5611116,1.32687e-10,400.3820224719101,400.38060514200174
10,1733397053.2174885,2.9185e-06,296.53553370000003,1.39864e-10,400.4022471910112,400.40102627466877
11,1733397054.7622085,2.9172e-06,296.509986,1.45288e-10,400.42247191011234,400.41637414037575
12,1733397056.485742,2.9147e-06,296.4988724,1.53231e-10,400.44269662921346,400.44019241455646
13,1733397058.1582708,2.9118e-06,296.4736485,1.62798e-10,400.4629213483146,400.461961614691
14,1733397059.805877,2.9096e-06,296.4487903,1.74509e-10,400.4831460674157,400.48129381362696
15,1733397061.5221872,2.9052e-06,296.4364028,1.85338e-10,400.5033707865168,400.5009265729643
16,1733397063.3298092,2.9041e-06,296.4135368,2.0412e-10,400.52359550561795,400.52298889995194
17,1733397064.9787786,2.8916e-06,296.38577910000004,2.2455e-10,400.54382022471907,400.5439816898642
18,1733397066.6859224,2.8961e-06,296.75811730000004,2.5285e-10,400.5640449438202,400.56253965946996
19,1733397068.3758953,2.891e-06,296.7443352,2.8697e-10,400.5842696629213,400.583238270698
20,1733397069.9934778,2.8781e-06,296.7188486,3.2552e-10,400.60449438202244,400.60392316248
21,1733397071.7526875,2.8795e-06,296.6934944,3.9746e-10,400.62471910112356,400.6235537750929
22,1733397073.6419003,2.8465e-06,296.6821372,4.9148e-10,400.6449438202247,400.64276962099564
23,1733397075.1184576,2.8427e-06,296.6559949,5.9224e-10,400.66516853932586,400.6628992032025
24,1733397076.776477,2.8219e-06,296.6319933,7.8662e-10,400.685393258427,400.6836384463251
25,1733397078.4508355,2.7927e-06,296.6199627,9.7206e-10,400.7056179775281,400.70438755241736
26,1733397080.0696282,2.7738e-06,296.59599280000003,1.226e-09,400.72584269662923,400.7248086341634
27,1733397081.9946322,2.7562e-06,296.5711994,1.3508e-09,400.74606741573035,400.74360116568954
28,1733397083.7498255,2.7557e-06,296.54500559999997,1.3875e-09,400.7662921348315,400.76344793399255
29,1733397085.5904841,2.7523e-06,296.53101089999996,1.3291e-09,400.7865168539326,400.7845831550247
30,1733397087.430913,2.7629e-06,296.50697249999996,1.1958e-09,400.8067415730337,400.80505748161306
31,1733397088.9688263,2.7732e-06,296.48428820000004,1.06213e-09,400.82696629213484,400.8258209548894
32,1733397090.534094,2.7866e-06,296.4701632,9.3737e-10,400.84719101123596,400.8441859845184
33,1733397092.1341455,2.7813e-06,296.4454736,8.6085e-10,400.8674157303371,400.86593936107005
34,1733397093.821884,2.7829e-06,296.4189265,8.5706e-10,400.8876404494382,400.8836569759772
35,1733397095.4531026,2.7792e-06,296.4075266,9.323e-10,400.90786516853933,400.9048761629934
36,1733397097.5535245,2.7669e-06,298.3102573,1.1067e-09,400.92808988764045,400.92637888584557
37,1733397099.3873408,2.7398e-06,298.2838221,1.2494e-09,400.9483146067416,400.9463437963202
38,1733397101.238235,2.7287e-06,298.25959539999997,1.3562e-09,400.9685393258427,400.9674913523312
39,1733397103.0879004,2.7215e-06,298.233927,1.3807e-09,400.9887640449438,400.9874842102875
40,1733397104.970062,2.7215e-06,298.2092108,1.331e-09,401.00898876404494,401.0070486006214
41,1733397106.7586699,2.7268e-06,298.1810801,1.2049e-09,401.02921348314607,401.0269753150808
42,1733397108.4330904,2.7421e-06,298.1698553,1.04888e-09,401.0494382022472,401.0480380278826
43,1733397110.1295981,2.7468e-06,298.1468377,9.1798e-10,401.0696629213483,401.0685655872404
44,1733397111.7614644,2.7593e-06,298.1200404,8.0121e-10,401.08988764044943,401.08610802308584
45,1733397113.4413397,2.7635e-06,298.1068957,7.2295e-10,401.11011235955056,401.1067672399006
46,1733397115.2411225,2.7583e-06,298.0806091,6.8141e-10,401.1303370786517,401.1290840180908
47,1733397116.985091,2.7563e-06,298.0558562,6.9002e-10,401.1505617977528,401.14934417285633
48,1733397118.530044,2.7395e-06,298.0433296,7.2998e-10,401.1707865168539,401.1688775549031
49,1733397120.15823,2.7378e-06,298.0168532,7.9105e-10,401.19101123595505,401.19054537062254
50,1733397121.6540504,2.7353e-06,298.0060074,8.3125e-10,401.21123595505617,401.2093896157905
51,1733397123.183842,2.7218e-06,297.9794618,8.5324e-10,401.2314606741573,401.23053033193037
52,1733397124.975332,2.7165e-06,297.9573361,8.4081e-10,401.2516853932584,401.25067291433567
53,1733397126.546982,2.7233e-06,297.94279750000004,7.9517e-10,401.27191011235954,401.2695612026325
54,1733397128.1254067,2.7225e-06,297.9174823,7.2496e-10,401.29213483146066,401.29179750544563
55,1733397129.700553,2.7326e-06,297.90591539999997,6.4217e-10,401.3123595505618,401.310620912638
56,1733397131.225073,2.7403e-06,297.87922330000004,5.6083e-10,401.3325842696629,401.33172259018346
57,1733397132.9863367,2.7421e-06,297.85565959999997,4.7768e-10,401.352808988764,401.35231531612504
58,1733397134.9552472,2.7423e-06,297.8298691,4.2868e-10,401.37303370786515,401.37165948254597
59,1733397136.6866446,2.738e-06,297.8039483,4.0708e-10,401.39325842696627,401.39373928833055
60,1733397138.3570123,2.7296e-06,297.7918588,4.0314e-10,401.4134831460674,401.4126104518504
61,1733397140.1322289,2.7269e-06,297.7670639,4.1339e-10,401.4337078651685,401.4329053374809
62,1733397141.7845721,2.7262e-06,297.7427842,4.2718e-10,401.45393258426964,401.45000980120363
63,1733397143.6389782,2.7233e-06,297.72828319999996,4.3963e-10,401.47415730337076,401.47429580546304
64,1733397145.145639,2.7215e-06,297.70331020000003,4.3967e-10,401.4943820224719,401.4939512370383
65,1733397146.9851499,2.721e-06,297.6779494,4.2204e-10,401.514606741573,401.5135156567022
66,1733397148.6253412,2.7144e-06,297.6677763,3.9733e-10,401.5348314606741,401.53194709412884
67,1733397150.3615422,2.7108e-06,297.64218439999996,3.5608e-10,401.5550561797753,401.5536460520369
68,1733397151.9948928,2.7174e-06,297.6152135,3.1963e-10,401.57528089887643,401.57414877310134
69,1733397153.688133,2.7027e-06,297.5904017,2.7644e-10,401.59550561797755,401.5938435734925
70,1733397155.3677158,2.7008e-06,297.576521,2.4706e-10,401.6157303370787,401.61489020323296
71,1733397156.9768302,2.6988e-06,297.55143030000005,2.3208e-10,401.6359550561798,401.6349823413528
72,1733397158.7038796,2.6991e-06,297.5253653,2.2271e-10,401.6561797752809,401.65432850053014
73,1733397160.385307,2.6935e-06,297.5140492,2.2272e-10,401.67640449438204,401.67561989536586
74,1733397162.1836026,2.685e-06,297.4882947,2.2557e-10,401.69662921348316,401.69551521583315
75,1733397163.7877195,2.6827e-06,297.46383249999997,2.2649e-10,401.7168539325843,401.7104634320592
76,1733397165.5460246,2.6877e-06,297.450598,2.2246e-10,401.7370786516854,401.7362495810876
77,1733397167.1236322,2.677e-06,297.42369690000004,2.1333e-10,401.75730337078653,401.75619683921883
78,1733397168.7684782,2.6692e-06,297.401254,1.9434e-10,401.77752808988765,401.77411878698405
79,1733397170.5075476,2.662e-06,297.3881166,1.83406e-10,401.7977528089888,401.79464703321133
80,1733397172.187759,2.6654e-06,297.3651019,1.62274e-10,401.8179775280899,401.81721629619307
81,1733397173.7478995,2.6508e-06,297.3396043,1.5097e-10,401.838202247191,401.83462107412106
82,1733397175.4275117,2.6426e-06,297.3279232,1.42405e-10,401.85842696629214,401.8570373466014
83,1733397177.1156857,2.6512e-06,297.3040269,1.3646e-10,401.87865168539327,401.87709991625303
84,1733397178.667507,2.6304e-06,297.2893588,1.34754e-10,401.8988764044944,401.89538586358464
85,1733397180.1319861,2.6437e-06,297.2635697,1.34043e-10,401.9191011235955,401.91813619336693
86,1733397181.667495,2.6277e-06,297.2528314,1.33443e-10,401.93932584269663,401.9348362428197
87,1733397183.1226816,2.6183e-06,297.2265125,1.31399e-10,401.95955056179776,401.9588196933626
88,1733397184.667728,2.5927e-06,297.2141044,1.27733e-10,401.9797752808989,401.9766400879224
89,1733397186.1241786,2.5946e-06,297.18962,1.2227e-10,402.0,401.9989017959095
