,time,ks01,accelerator_current,kth01,pgm_en_setpoint,pgm_en
0,1733404771.1869292,1.8552e-06,297.9555375,8.28691e-11,400.2,400.2009021432364
1,1733404773.0969007,1.8646e-06,297.9281464,8.9275e-11,400.2202247191011,400.2188589878857
2,1733404775.0807934,1.8613e-06,297.9040513,9.06483e-11,400.24044943820223,400.23907618922016
3,1733404777.0659277,1.8701e-06,297.8759508,9.25349e-11,400.26067415730336,400.2591961000646
4,1733404779.0427325,1.8752e-06,297.8512589,9.4417e-11,400.2808988764045,400.2792318089514
5,1733404781.0184412,1.8664e-06,297.82726030000003,9.65013e-11,400.3011235955056,400.2996457195323
6,1733404783.0005841,1.8805e-06,297.8034287,9.88374e-11,400.3213483146067,400.31974548879896
7,1733404784.984225,1.8737e-06,297.7801528,1.017379e-10,400.34157303370785,400.33993654914747
8,1733404786.9845214,1.8726e-06,297.7531274,1.047864e-10,400.36179775280897,400.35988904742607
9,1733404788.9851382,1.8677e-06,297.7284466,1.085831e-10,400.3820224719101,400.38042565639165
10,1733404790.986511,1.8756e-06,297.7024742,1.136353e-10,400.4022471910112,400.40027272205555
11,1733404792.980049,1.8712e-06,297.6790813,1.181799e-10,400.42247191011234,400.4207645115133
12,1733404794.9763837,1.8808e-06,297.65145390000004,1.23878e-10,400.44269662921346,400.44085524752757
13,1733404796.985824,1.8791e-06,297.6262094,1.310072e-10,400.4629213483146,400.46134359525854
14,1733404798.982138,1.8619e-06,297.6013321,1.396715e-10,400.4831460674157,400.4810574072207
15,1733404800.8245564,1.874e-06,297.5752089,1.499028e-10,400.5033707865168,400.49969826032185
16,1733404802.8048906,1.8813e-06,297.5512978,1.636859e-10,400.52359550561795,400.5210375021278
17,1733404804.7845843,1.8783e-06,297.5261431,1.806271e-10,400.54382022471907,400.54112266757244
18,1733404807.6688871,1.8636e-06,297.5014998,2.0122e-10,400.5640449438202,400.5625596170495
19,1733404809.6581073,1.8769e-06,297.4750271,2.35619e-10,400.5842696629213,400.5826670920209
20,1733404811.6351404,1.86e-06,297.4519829,2.7437e-10,400.60449438202244,400.60298862096516
21,1733404813.6130047,1.8524e-06,297.42740369999996,3.2821e-10,400.62471910112356,400.62286436715294
22,1733404815.5917592,1.8377e-06,297.40060420000003,4.06015e-10,400.6449438202247,400.64331367769694
23,1733404817.5766022,1.8386e-06,297.3760757,5.14447e-10,400.66516853932586,400.6636196284103
24,1733404819.5560527,1.8227e-06,297.3511043,6.60555e-10,400.685393258427,400.68398469662105
25,1733404820.985274,1.804e-06,297.3249332,8.20703e-10,400.7056179775281,400.70341092458494
26,1733404822.98844,1.7721e-06,297.2989675,1.030422e-09,400.72584269662923,400.72404570945764
27,1733404825.2965403,1.7797e-06,297.2734699,1.14746e-09,400.74606741573035,400.74435477191
28,1733404830.1787753,1.7614e-06,297.21252730000003,1.11946e-09,400.7662921348315,400.7648194524811
29,1733404832.1681461,1.7831e-06,297.1882071,9.71601e-10,400.7865168539326,400.7852644849807
30,1733404834.1386836,1.7972e-06,297.1615541,7.99206e-10,400.8067415730337,400.8050679162307
31,1733404836.123317,1.8228e-06,297.1379609,6.64991e-10,400.82696629213484,400.825504913473
32,1733404838.0986488,1.8219e-06,297.1127105,5.84851e-10,400.84719101123596,400.8458575727041
33,1733404840.0803776,1.8225e-06,297.0879701,5.60596e-10,400.8674157303371,400.8653830088876
34,1733404842.0625174,1.8294e-06,297.0609028,5.83392e-10,400.8876404494382,400.8863719575745
35,1733404844.0434594,1.8088e-06,297.038153,6.52306e-10,400.90786516853933,400.9067322905438
36,1733404846.0231404,1.7763e-06,297.0129622,7.65654e-10,400.92808988764045,400.9265629269454
37,1733404848.004021,1.791e-06,296.9867764,9.18221e-10,400.9483146067416,400.9471553152108
38,1733404849.9979463,1.7617e-06,296.96399210000004,1.064172e-09,400.9685393258427,400.96718459888666
39,1733404852.4269373,1.7612e-06,296.93981310000004,1.13161e-09,400.9887640449438,400.98645145683054
40,1733404856.1868887,1.7723e-06,296.889734,1.066381e-09,401.00898876404494,401.0077361010602
41,1733404858.1668854,1.775e-06,296.8637514,9.08814e-10,401.02921348314607,401.02804146636447
42,1733404860.1417942,1.8032e-06,296.8399471,7.31519e-10,401.0494382022472,401.048430805218
43,1733404862.1274517,1.7971e-06,296.81269430000003,5.95132e-10,401.0696629213483,401.06865531041797
44,1733404864.1065047,1.8122e-06,296.78752479999997,5.09998e-10,401.08988764044943,401.0882799835456
45,1733404866.0862932,1.8304e-06,296.7646919,4.66506e-10,401.11011235955056,401.1084629949139
46,1733404868.0653415,1.8096e-06,296.7388998,4.60045e-10,401.1303370786517,401.12876691049814
47,1733404870.0564473,1.7953e-06,296.7157688,4.87508e-10,401.1505617977528,401.14888468556154
48,1733404872.0267048,1.8131e-06,296.68928650000004,5.48329e-10,401.1707865168539,401.1695518920162
49,1733404874.0070176,1.7952e-06,296.6647573,6.25567e-10,401.19101123595505,401.1895184176371
50,1733404875.9919949,1.798e-06,296.640624,6.87119e-10,401.21123595505617,401.2097950967704
51,1733404877.9873805,1.8074e-06,296.6149807,6.82906e-10,401.2314606741573,401.2301188578599
52,1733404879.989869,1.8103e-06,296.5893012,6.05764e-10,401.2516853932584,401.25019821057913
53,1733404881.994316,1.7951e-06,296.5657648,4.98394e-10,401.27191011235954,401.2704653211308
54,1733404883.990385,1.7995e-06,296.5404018,4.04087e-10,401.29213483146066,401.29081849677755
55,1733404885.9921827,1.7981e-06,296.51639140000003,3.39705e-10,401.3123595505618,401.31106135355077
56,1733404887.990678,1.8338e-06,296.4923773,3.0166e-10,401.3325842696629,401.3309832738336
57,1733404889.9967422,1.7972e-06,296.465296,2.85962e-10,401.352808988764,401.35107678474134
58,1733404891.8218808,1.8435e-06,296.44041500000003,2.8896e-10,401.37303370786515,401.3704832352477
59,1733404893.8017812,1.833e-06,296.4175828,3.08115e-10,401.39325842696627,401.39047287387393
60,1733404895.7818613,1.8321e-06,298.296582,3.39199e-10,401.4134831460674,401.4117441450821
61,1733404897.7610276,1.8329e-06,298.2705405,3.60299e-10,401.4337078651685,401.43215568236536
62,1733404899.7418191,1.7845e-06,298.25877479999997,3.53337e-10,401.45393258426964,401.45188454499987
63,1733404901.7218966,1.8294e-06,298.2352693,3.16788e-10,401.47415730337076,401.47209553298245
64,1733404903.6971438,1.7989e-06,298.207831,2.68789e-10,401.4943820224719,401.49274063006413
65,1733404905.681688,1.8449e-06,298.1818793,2.26767e-10,401.514606741573,401.513523084966
66,1733404910.042762,1.7953e-06,298.1202126,1.97324e-10,401.5348314606741,401.5329808357612
67,1733404912.0809982,1.8244e-06,298.0952882,1.82699e-10,401.5550561797753,401.5536630594311
68,1733404914.061728,1.8105e-06,298.0687125,1.700706e-10,401.57528089887643,401.57432560528315
69,1733404916.0417085,1.815e-06,298.0442075,1.701101e-10,401.59550561797755,401.59397121122385
70,1733404918.0216072,1.8195e-06,298.021064,1.753559e-10,401.6157303370787,401.6138995195574
71,1733404919.3411064,1.8088e-06,298.00834319999996,1.824555e-10,401.6359550561798,401.63393219611214
72,1733404921.3215306,1.7918e-06,297.9819109,1.886259e-10,401.6561797752809,401.65460093497404
73,1733404923.3014412,1.8079e-06,297.9562756,1.851375e-10,401.67640449438204,401.6744394808011
74,1733404925.2818847,1.8071e-06,297.9328341,1.717061e-10,401.69662921348316,401.69528978708297
75,1733404927.2662241,1.8019e-06,297.9059882,1.551175e-10,401.7168539325843,401.7153280474673
76,1733404929.2416685,1.7807e-06,297.8815164,1.39394e-10,401.7370786516854,401.7357886172667
77,1733404931.214357,1.8003e-06,297.85615490000004,1.283026e-10,401.75730337078653,401.75542884668926
78,1733404932.5454557,1.8045e-06,297.8445843,1.211677e-10,401.77752808988765,401.77344079860785
79,1733404934.5253346,1.7989e-06,297.8172071,1.159056e-10,401.7977528089888,401.7957993520429
80,1733404936.5054407,1.8151e-06,297.7928523,1.138356e-10,401.8179775280899,401.81628128769944
81,1733404938.4849453,1.8001e-06,297.7692496,1.139702e-10,401.838202247191,401.83674754630385
82,1733404940.4649963,1.7968e-06,297.7426797,1.155912e-10,401.85842696629214,401.85671930257223
83,1733404942.455613,1.7733e-06,297.7180835,1.165639e-10,401.87865168539327,401.87706792375695
84,1733404944.4261322,1.7841e-06,297.6929869,1.146283e-10,401.8988764044944,401.89769558772923
85,1733404946.4052334,1.7788e-06,297.6682745,1.092681e-10,401.9191011235955,401.91789715040346
86,1733404947.76859,1.7561e-06,297.6411777,1.039831e-10,401.93932584269663,401.933284741272
87,1733404949.7090647,1.7474e-06,297.6301612,9.7463e-11,401.95955056179776,401.95637971183197
88,1733404951.688877,1.7481e-06,297.6061898,9.30278e-11,401.9797752808989,401.97837194189026
89,1733404953.6692047,1.7399e-06,297.5804095,9.04304e-11,402.0,401.99862729712794
