,time,ks01,accelerator_current,kth01,pgm_en_setpoint,pgm_en
0,1733405900.3944237,1.8627e-06,296.9067224,8.6843e-11,400.2,400.2008839955276
1,1733405902.3055027,1.8833e-06,296.8838188,9.38849e-11,400.2202247191011,400.2188247068557
2,1733405904.2849207,1.8838e-06,296.8581887,9.59825e-11,400.24044943820223,400.2390298072668
3,1733405906.2660813,1.8989e-06,296.8356795,9.82812e-11,400.26067415730336,400.25945072417363
4,1733405908.2511919,1.9043e-06,296.809652,1.008221e-10,400.2808988764045,400.27949552776363
5,1733405910.2226467,1.9001e-06,296.7862274,1.036328e-10,400.3011235955056,400.2998761762698
6,1733405912.2097077,1.88e-06,296.7617931,1.068865e-10,400.3213483146067,400.31986955166576
7,1733405914.189872,1.9048e-06,296.7350194,1.107636e-10,400.34157303370785,400.3404192210284
8,1733405916.1694846,1.8867e-06,296.7105211,1.151658e-10,400.36179775280897,400.360479695849
9,1733405918.16647,1.8777e-06,296.6849167,1.203031e-10,400.3820224719101,400.38019059123144
10,1733405920.1341736,1.8872e-06,296.6620588,1.267245e-10,400.4022471910112,400.4008236042732
11,1733405922.1130764,1.9109e-06,296.635494,1.343843e-10,400.42247191011234,400.42064494339627
12,1733405924.0936341,1.8937e-06,296.6113968,1.436925e-10,400.44269662921346,400.4409612026534
13,1733405926.0778334,1.9088e-06,296.5871656,1.555409e-10,400.4629213483146,400.46107919295207
14,1733405928.0668414,1.8846e-06,296.5620874,1.707808e-10,400.4831460674157,400.482026283336
15,1733405930.0375586,1.9054e-06,296.5365817,1.897493e-10,400.5033707865168,400.50155540287176
16,1733405932.2335193,1.8691e-06,296.51196419999997,2.13669e-10,400.52359550561795,400.52200955094315
17,1733405934.217567,1.8738e-06,296.48704860000004,2.5281e-10,400.54382022471907,400.5421099311686
18,1733405936.2012923,1.8882e-06,298.3599663,2.99251e-10,400.5640449438202,400.56263331408445
19,1733405938.1806965,1.8918e-06,298.337619,3.58742e-10,400.5842696629213,400.5824525438086
20,1733405940.1617017,1.9004e-06,298.3120728,4.34489e-10,400.60449438202244,400.6028871461083
21,1733405942.1410542,1.8483e-06,298.2849871,5.25359e-10,400.62471910112356,400.623220820766
22,1733405944.1264956,1.8457e-06,298.2609296,6.33172e-10,400.6449438202247,400.64358381632013
23,1733405946.1043413,1.8405e-06,298.2329732,7.55932e-10,400.66516853932586,400.6633833032839
24,1733405948.0870333,1.8049e-06,298.2089187,8.99933e-10,400.685393258427,400.68411195724525
25,1733405950.0654943,1.8172e-06,298.1838979,1.026226e-09,400.7056179775281,400.70457959685746
26,1733405952.5692062,1.778e-06,298.16001700000004,1.08054e-09,400.72584269662923,400.72435886029945
27,1733405954.5489366,1.7938e-06,298.1342147,1.025837e-09,400.74606741573035,400.7446396593272
28,1733405956.5294979,1.8165e-06,298.1092977,9.00346e-10,400.7662921348315,400.7648967422214
29,1733405958.513552,1.8463e-06,298.0834924,7.70841e-10,400.7865168539326,400.78516293932296
30,1733405960.4946923,1.8342e-06,298.0587807,6.81276e-10,400.8067415730337,400.8052947671248
31,1733405962.4733827,1.8362e-06,298.0362561,6.41887e-10,400.82696629213484,400.82564891782096
32,1733405964.4636056,1.8437e-06,298.0099408,6.46134e-10,400.84719101123596,400.8458489819326
33,1733405965.799058,1.8142e-06,297.98467350000004,6.77098e-10,400.8674157303371,400.85606051047824
34,1733405967.7604978,1.8076e-06,297.9578343,7.51395e-10,400.8876404494382,400.8853177222842
35,1733405969.736843,1.8386e-06,297.9456366,8.43123e-10,400.90786516853933,400.90613285416885
36,1733405971.7208047,1.8121e-06,297.9211545,9.51437e-10,400.92808988764045,400.92652805017184
37,1733405973.700334,1.8091e-06,297.8978984,1.038896e-09,400.9483146067416,400.94726400181895
38,1733405975.6802945,1.8004e-06,297.8731006,1.043872e-09,400.9685393258427,400.9673160401343
39,1733405976.9999661,1.7834e-06,297.84696710000003,9.70437e-10,400.9887640449438,400.98674823073026
40,1733405978.3200438,1.7734e-06,297.83372230000003,8.26976e-10,401.00898876404494,401.00741453296996
41,1733405980.304703,1.8395e-06,297.8088053,6.75752e-10,401.02921348314607,401.0296080547103
42,1733405982.2840488,1.837e-06,297.7842613,5.78433e-10,401.0494382022472,401.0500672678122
43,1733405984.2639606,1.8337e-06,297.75988590000003,5.20395e-10,401.0696629213483,401.0715947292853
44,1733405986.2544017,1.8044e-06,297.73325420000003,5.03733e-10,401.08988764044943,401.08719763733575
45,1733405987.6112056,1.852e-06,297.7231804,5.07523e-10,401.11011235955056,401.10595571704533
46,1733405989.5483203,1.855e-06,297.6964707,5.34483e-10,401.1303370786517,401.1293208205208
47,1733405990.9873283,1.8308e-06,297.67388650000004,5.70932e-10,401.1505617977528,401.1481845430894
48,1733405992.9958673,1.8131e-06,297.649843,6.28313e-10,401.1707865168539,401.16947903780175
49,1733405994.820431,1.7857e-06,297.6234475,6.53559e-10,401.19101123595505,401.1886537305653
50,1733405996.8120804,1.7018e-06,297.59987789999997,6.256e-10,401.21123595505617,401.20831758152815
51,1733405998.7897768,1.8151e-06,297.5758241,5.50231e-10,401.2314606741573,401.22962193491026
52,1733406000.7655919,1.8443e-06,297.55098730000003,4.58021e-10,401.2516853932584,401.2492928399986
53,1733406002.7538948,1.8483e-06,297.5242666,3.85553e-10,401.27191011235954,401.26966262532284
54,1733406004.7318597,1.8322e-06,297.5101497,3.39016e-10,401.29213483146066,401.29024401420196
55,1733406006.7159462,1.8642e-06,297.487018,3.12671e-10,401.3123595505618,401.31082445515693
56,1733406008.6957133,1.8089e-06,297.4623364,3.03123e-10,401.3325842696629,401.33121867208837
57,1733406010.6759434,1.8103e-06,297.4369072,3.05831e-10,401.352808988764,401.3510707099073
58,1733406012.665769,1.8611e-06,297.4125487,3.18998e-10,401.37303370786515,401.3721003804853
59,1733406014.6390057,1.819e-06,297.3850332,3.3614e-10,401.39325842696627,401.39160353765396
60,1733406016.6205692,1.8316e-06,297.3585398,3.42681e-10,401.4134831460674,401.4123867434291
61,1733406018.5996723,1.8258e-06,297.3372008,3.25719e-10,401.4337078651685,401.43194247470814
62,1733406020.583779,1.8426e-06,297.3117473,2.89591e-10,401.45393258426964,401.45233985168375
63,1733406022.5562959,1.8262e-06,297.2867088,2.49663e-10,401.47415730337076,401.47261367975295
64,1733406024.5443187,1.8265e-06,297.26357409999997,2.16726e-10,401.4943820224719,401.49295438911446
65,1733406028.26706,1.8353e-06,297.2137011,1.94126e-10,401.514606741573,401.51245674351435
66,1733406030.307929,1.8411e-06,297.18726150000003,1.855627e-10,401.5348314606741,401.53207957530475
67,1733406032.2869089,1.8446e-06,297.1640054,1.748278e-10,401.5550561797753,401.5539143614913
68,1733406034.2698224,1.8158e-06,297.1396829,1.750925e-10,401.57528089887643,401.5736294079939
69,1733406036.2614336,1.8275e-06,297.113587,1.785453e-10,401.59550561797755,401.5937219007471
