,time,ks01,accelerator_current,kth01,pgm_en_setpoint,pgm_en
0,1733397788.6231833,2.8863e-06,298.1008215,1.03494e-10,400.2,400.19998268714176
1,1733397790.132901,2.8833e-06,298.0755726,1.04544e-10,400.2202247191011,400.21914170919024
2,1733397791.8319805,2.8852e-06,298.0515011,1.07315e-10,400.24044943820223,400.23890341397424
3,1733397793.7040179,2.8864e-06,298.0245905,1.09993e-10,400.26067415730336,400.25799463533906
4,1733397795.3822832,2.8797e-06,298.0126158,1.12614e-10,400.2808988764045,400.27903655366157
5,1733397796.9827225,2.8855e-06,297.9891022,1.15654e-10,400.3011235955056,400.3000501163554
6,1733397798.5028093,2.8789e-06,297.9771761,1.19732e-10,400.3213483146067,400.3191054452933
7,1733397800.1806827,2.8825e-06,297.9494722,1.24522e-10,400.34157303370785,400.34101839948545
8,1733397801.9948797,2.8802e-06,297.9258937,1.30022e-10,400.36179775280897,400.3605493896723
9,1733397803.5428758,2.8756e-06,297.9119608,1.34698e-10,400.3820224719101,400.37973956828125
10,1733397805.1318913,2.8776e-06,297.88881219999996,1.40724e-10,400.4022471910112,400.40144132397785
11,1733397806.6631758,2.869e-06,297.8767095,1.47686e-10,400.42247191011234,400.4194563264801
12,1733397808.1388738,2.8764e-06,297.8523959,1.55437e-10,400.44269662921346,400.4418292578171
13,1733397809.7936208,2.8732e-06,297.827657,1.66523e-10,400.4629213483146,400.46061674093175
14,1733397811.3977122,2.8687e-06,297.8155336,1.75017e-10,400.4831460674157,400.48161058848757
15,1733397813.1470535,2.8625e-06,297.7913319,1.92398e-10,400.5033707865168,400.5021055139877
16,1733397814.6810462,2.8565e-06,297.78026459999995,2.0789e-10,400.52359550561795,400.52154837807876
17,1733397816.427605,2.855e-06,297.7547493,2.3259e-10,400.54382022471907,400.54312355154786
18,1733397818.1467009,2.8496e-06,297.7297808,2.569e-10,400.5640449438202,400.5628602110847
19,1733397819.7026732,2.847e-06,297.7183624,2.8575e-10,400.5842696629213,400.58109079258645
20,1733397821.3587368,2.8334e-06,297.6915401,3.341e-10,400.60449438202244,400.6036901044077
21,1733397822.9783692,2.8325e-06,297.6669094,3.935e-10,400.62471910112356,400.6240631567737
22,1733397824.5865781,2.8186e-06,297.6549266,4.8828e-10,400.6449438202247,400.6414236725168
23,1733397826.147428,2.8006e-06,297.6282456,6.1924e-10,400.66516853932586,400.66402150323233
24,1733397827.8284206,2.774e-06,297.60571219999997,8.3137e-10,400.685393258427,400.68180164108134
25,1733397829.8106985,2.7411e-06,297.5797995,1.1522e-09,400.7056179775281,400.7029210394206
26,1733397831.6521323,2.7013e-06,297.56720149999995,1.4395e-09,400.72584269662923,400.7216446910408
27,1733397833.4906642,2.6738e-06,297.5443399,1.6159e-09,400.74606741573035,400.74550634371155
28,1733397835.3429565,2.6928e-06,297.5195649,1.5363e-09,400.7662921348315,400.7650746402877
29,1733397837.6323698,2.7039e-06,297.4939781,1.3143e-09,400.7865168539326,400.7840822035227
30,1733397839.1509302,2.7311e-06,297.46718599999997,1.05056e-09,400.8067415730337,400.8053072868947
31,1733397840.711099,2.7521e-06,297.4543283,8.9341e-10,400.82696629213484,400.8229938709095
32,1733397842.4353383,2.7593e-06,297.4307315,7.6843e-10,400.84719101123596,400.8452967702406
33,1733397844.1226358,2.7454e-06,297.4048879,7.3825e-10,400.8674157303371,400.86653040710104
34,1733397845.7497115,2.7393e-06,297.3831493,7.8597e-10,400.8876404494382,400.8843312526931
35,1733397847.5542355,2.7194e-06,297.3689647,9.1828e-10,400.90786516853933,400.90575664428144
36,1733397849.0798888,2.6928e-06,297.3434243,1.1606e-09,400.92808988764045,400.92654145590564
37,1733397850.9784691,2.6656e-06,297.3164593,1.4218e-09,400.9483146067416,400.94767086523245
38,1733397852.7463639,2.641e-06,297.2931222,1.5648e-09,400.9685393258427,400.96674701232376
39,1733397854.5979161,2.6396e-06,297.28326849999996,1.5363e-09,400.9887640449438,400.986736740923
40,1733397856.4380436,2.6634e-06,297.2570673,1.3426e-09,401.00898876404494,401.00769155315214
41,1733397857.9935157,2.6767e-06,297.23058130000004,1.0745e-09,401.02921348314607,401.0283572994736
42,1733397859.5983384,2.6982e-06,297.2217872,8.8796e-10,401.0494382022472,401.0470124045476
43,1733397861.1551952,2.7108e-06,297.19448439999996,7.4859e-10,401.0696629213483,401.068699829405
44,1733397862.5284731,2.7127e-06,297.1816458,6.6673e-10,401.08988764044943,401.08825588795906
45,1733397864.1577766,2.71e-06,297.1587032,6.0487e-10,401.11011235955056,401.1088877684693
46,1733397865.718115,2.7117e-06,297.13287579999997,6.0536e-10,401.1303370786517,401.1276677188967
47,1733397867.287902,2.7025e-06,297.1209946,6.5107e-10,401.1505617977528,401.1498100136348
48,1733397868.9786906,2.6854e-06,297.0960673,7.4185e-10,401.1707865168539,401.1696869925348
49,1733397870.637157,2.6723e-06,297.08622230000003,8.5051e-10,401.19101123595505,401.1897177370055
50,1733397872.1342719,2.6406e-06,297.0596039,9.1981e-10,401.21123595505617,401.2110302531061
51,1733397873.7887542,2.6545e-06,297.0363228,9.4945e-10,401.2314606741573,401.2290200540886
52,1733397875.4691818,2.659e-06,297.02282329999997,8.9309e-10,401.2516853932584,401.2492539686737
53,1733397876.9778821,2.6604e-06,297.0005165,7.87e-10,401.27191011235954,401.2714333984793
54,1733397878.6907046,2.6695e-06,296.9740004,6.2852e-10,401.29213483146066,401.290994617945
55,1733397880.2373652,2.6879e-06,296.96337239999997,5.3019e-10,401.3123595505618,401.3117108759567
56,1733397881.9898243,2.6897e-06,296.9362764,4.4617e-10,401.3325842696629,401.3317830120236
