FWHM_l (meV),FWHM_g (meV),RP,3P1V Ratio
110.0,10.0,40076,0.604488953833522
110.0,11.0,36432,0.6054144216938769
110.0,12.0,33396,0.6064254388673447
110.0,13.0,30827,0.6075213715623812
110.0,14.0,28625,0.6087015591201894
110.0,15.0,26717,0.6099653193737913
110.0,16.0,25047,0.6113119539120018
110.0,17.0,23574,0.6127407531910053
110.0,18.0,22264,0.6142510014453294
110.0,19.0,21092,0.6158419813589796
110.0,20.0,20038,0.6175129784659972
110.0,21.0,19083,0.6192632852575541
110.0,22.0,18216,0.6210922049797792
110.0,23.0,17424,0.6229990551126832
110.0,24.0,16698,0.6249831705258392
110.0,25.0,16030,0.6270439063108535
110.0,26.0,15413,0.6291806402941856
110.0,27.0,14842,0.6313927752365908
110.0,28.0,14312,0.6336797407274687
110.0,29.0,13819,0.6360409947837287
110.0,30.0,13358,0.6384760251635958
110.0,31.0,12927,0.6409843504060815
110.0,32.0,12523,0.6435655206067691
110.0,33.0,12144,0.6462191179401882
110.0,34.0,11787,0.6489447569384051
110.0,35.0,11450,0.6517420845346997
110.0,36.0,11132,0.6546107798802505
110.0,37.0,10831,0.6575505539408684
110.0,38.0,10546,0.6605611488798959
110.0,39.0,10275,0.6636423372324658
110.0,40.0,10019,0.6667939208756832
110.0,41.0,9774,0.6700157297986429
110.0,42.0,9541,0.6733076206757979
110.0,43.0,9320,0.6766694752470681
110.0,44.0,9108,0.6801011985081383
110.0,45.0,8905,0.6836027167146957
110.0,46.0,8712,0.6871739752049759
110.0,47.0,8526,0.6908149360458494
110.0,48.0,8349,0.6945255755087337
110.0,49.0,8178,0.6983058813829331
110.0,50.0,8015,0.7021558501355296
110.0,51.0,7858,0.7060754839285387
110.0,52.0,7706,0.7100647875057752
110.0,53.0,7561,0.7141237649636776
110.0,54.0,7421,0.7182524164220392
110.0,55.0,7286,0.7224507346122998
110.0,56.0,7156,0.7267187014025921
110.0,57.0,7030,0.7310562842801559
110.0,58.0,6909,0.7354634328128059
110.0,59.0,6792,0.7399400751120949
110.0,60.0,6679,0.74448611432144
110.0,61.0,6569,0.7491014251526574
110.0,62.0,6463,0.7537858504944798
110.0,63.0,6361,0.7585391981161149
110.0,64.0,6261,0.7633612374883786
110.0,65.0,6165,0.7682516967438235
110.0,66.0,6072,0.7732102597961191
110.0,67.0,5981,0.7782365636374127
110.0,68.0,5893,0.7833301958306105
