FWHM_l (meV),FWHM_g (meV),RP,3P1V Ratio
110.0,69.0,5808,0.7884906922116911
110.0,70.0,5725,0.7937175348150298
110.0,71.0,5644,0.7990101500326192
110.0,72.0,5566,0.804367907015779
110.0,73.0,5489,0.8097901163257487
110.0,74.0,5415,0.8152760288372982
110.0,75.0,5343,0.8208248348973008
110.0,76.0,5273,0.826435663738071
110.0,77.0,5204,0.8321075831433046
110.0,78.0,5137,0.8378395993625048
110.0,79.0,5072,0.8436306572680841
110.0,80.0,5009,0.849479640747692
110.0,81.0,4947,0.8553853733229474
110.0,82.0,4887,0.8613466189844552
110.0,83.0,4828,0.8673620832319736
110.0,84.0,4770,0.8734304143076524
110.0,85.0,4714,0.8795502046096096
110.0,86.0,4660,0.8857199922725327
110.0,87.0,4606,0.8919382629016093
110.0,88.0,4554,0.8982034514459286
110.0,89.0,4502,0.9045139441973264
110.0,90.0,4452,0.9108680809007951
110.0,91.0,4403,0.9172641569626727
110.0,92.0,4356,0.923700425743193
110.0,93.0,4309,0.9301751009202727
110.0,94.0,4263,0.9366863589119324
110.0,95.0,4218,0.9432323413452768
110.0,96.0,4174,0.9498111575604872
110.0,97.0,4131,0.9564208871389981
110.0,98.0,4089,0.9630595824456291
110.0,99.0,4048,0.9697252711751663
110.0,100.0,4007,0.9764159588945814
110.0,101.0,3967,0.9831296315727857
110.0,102.0,3929,0.9898642580905216
110.0,103.0,3890,0.9966177927237213
110.0,104.0,3853,1.0033881775942655
110.0,105.0,3816,1.0101733450828374
110.0,106.0,3780,1.016971220199114
110.0,107.0,3745,1.0237797229051875
110.0,108.0,3710,1.0305967703886727
110.0,109.0,3676,1.0374202792824672
110.0,110.0,3643,1.0442481678286808
110.0,111.0,3610,1.0510783579846588
110.0,112.0,3578,1.057908777469481
110.0,113.0,3546,1.0647373617497
110.0,114.0,3515,1.071562055963425
110.0,115.0,3484,1.0783808167821547
110.0,116.0,3454,1.0851916142100946
110.0,117.0,3425,1.0919924333208486
110.0,118.0,3396,1.0987812759316815
110.0,119.0,3367,1.105556162215638
110.0,120.0,3339,1.112315132252037
110.0,121.0,3312,1.1190562475159191
110.0,122.0,3284,1.1257775923071551
110.0,123.0,3258,1.1324772751200183
110.0,124.0,3231,1.1391534299540325
110.0,125.0,3206,1.1458042175670062
110.0,126.0,3180,1.152427826671134
110.0,127.0,3155,1.159022475073116
110.0,128.0,3130,1.1655864107591731
110.0,129.0,3106,1.1721179129259163
110.0,130.0,3082,1.178615292957913
110.0,131.0,3059,1.1850768953528623
110.0,132.0,3036,1.191501098595199
110.0,133.0,3013,1.1978863159789204
110.0,134.0,2990,1.2042309963804596
110.0,135.0,2968,1.2105336249822924
110.0,136.0,2946,1.2167927239480263
110.0,137.0,2925,1.2230068530496299
110.0,138.0,2904,1.2291746102474397
110.0,139.0,2883,1.2352946322235827
110.0,140.0,2862,1.2413655948693916
110.0,141.0,2842,1.2473862137273715
110.0,142.0,2822,1.2533552443882965
110.0,143.0,2802,1.2592714828439513
110.0,144.0,2783,1.2651337657960544
110.0,145.0,2763,1.2709409709218824
110.0,146.0,2744,1.2766920170971285
110.0,147.0,2726,1.2823858645765005
110.0,148.0,2707,1.288021515132614
110.0,149.0,2689,1.2935980121537078
111.0,10.0,40076,0.6120758169805365
111.0,11.0,36432,0.6129975469656125
111.0,12.0,33396,0.6140045352150376
111.0,13.0,30827,0.6150961627446304
111.0,14.0,28625,0.6162717839078734
111.0,15.0,26717,0.6175307315714352
111.0,16.0,25047,0.6188723222055258
111.0,17.0,23574,0.6202958608335613
111.0,18.0,22264,0.6218006457941941
111.0,19.0,21092,0.6233859732771814
111.0,20.0,20038,0.625051141602654
111.0,21.0,19083,0.6267954552207963
111.0,22.0,18216,0.6286182284157421
111.0,23.0,17424,0.6305187887034003
111.0,24.0,16698,0.6324964799180719
111.0,25.0,16030,0.634550664986938
111.0,26.0,15413,0.6366807283949943
111.0,27.0,14842,0.6388860783456672
111.0,28.0,14312,0.6411661486243859
111.0,29.0,13819,0.643520400173732
111.0,30.0,13358,0.645948322389685
111.0,31.0,12927,0.6484494341488364
111.0,32.0,12523,0.6510232845764896
111.0,33.0,12144,0.65366945356525
111.0,34.0,11787,0.6563875520532169
111.0,35.0,11450,0.6591772220701914
111.0,36.0,11132,0.6620381365595011
111.0,37.0,10831,0.6649699989822732
111.0,38.0,10546,0.6679725427101497
111.0,39.0,10275,0.6710455302116124
111.0,40.0,10019,0.67418875203658
111.0,41.0,9774,0.677402025603306
111.0,42.0,9541,0.6806851937913619
111.0,43.0,9320,0.6840381233443452
111.0,44.0,9108,0.6874607030861069
111.0,45.0,8905,0.6909528419546112
111.0,46.0,8712,0.6945144668581599
111.0,47.0,8526,0.6981455203596058
111.0,48.0,8349,0.7018459581951659
111.0,49.0,8178,0.7056157466357839
111.0,50.0,8015,0.7094548597004086
111.0,51.0,7858,0.7133632762321173
111.0,52.0,7706,0.7173409768496433
111.0,53.0,7561,0.721387940788594
111.0,54.0,7421,0.725504142648246
111.0,55.0,7286,0.7296895490613995
111.0,56.0,7156,0.7339441153062408
111.0,57.0,7030,0.7382677818804312
111.0,58.0,6909,0.7426604710586766
111.0,59.0,6792,0.7471220834558473
111.0,60.0,6679,0.7516524946182959
111.0,61.0,6569,0.7562515516661121
111.0,62.0,6463,0.7609190700091534
111.0,63.0,6361,0.7656548301590975
111.0,64.0,6261,0.7704585746592485
111.0,65.0,6165,0.775330005152675
111.0,66.0,6072,0.7802687796081393
111.0,67.0,5981,0.7852745097217032
111.0,68.0,5893,0.7903467585102252
111.0,69.0,5808,0.7954850381110892
111.0,70.0,5725,0.8006888078004929
111.0,71.0,5644,0.8059574722405657
111.0,72.0,5566,0.8112903799633583
111.0,73.0,5489,0.8166868220976278
111.0,74.0,5415,0.8221460313421728
111.0,75.0,5343,0.8276671811873316
111.0,76.0,5273,0.8332493853842284
111.0,77.0,5204,0.8388916976594349
111.0,78.0,5137,0.8445931116708655
111.0,79.0,5072,0.8503525611990663
111.0,80.0,5009,0.8561689205665336
111.0,81.0,4947,0.862041005276335
111.0,82.0,4887,0.8679675728601128
111.0,83.0,4828,0.8739473239245446
111.0,84.0,4770,0.8799789033844743
111.0,85.0,4714,0.8860609018702774
111.0,86.0,4660,0.8921918572964929
111.0,87.0,4606,0.898370256578392
111.0,88.0,4554,0.9045945374830229
111.0,89.0,4502,0.9108630906010887
111.0,90.0,4452,0.9171742614261906
111.0,91.0,4403,0.9235263525280782
111.0,92.0,4356,0.9299176258068811
111.0,93.0,4309,0.9363463048156022
111.0,94.0,4263,0.9428105771386794
111.0,95.0,4218,0.9493085968149125
111.0,96.0,4174,0.9558384867935744
111.0,97.0,4131,0.9623983414132408
111.0,98.0,4089,0.9689862288934247
111.0,99.0,4048,0.9756001938298419
111.0,100.0,4007,0.9822382596847581
111.0,101.0,3967,0.9888984312646117
111.0,102.0,3929,0.9955786971777346
111.0,103.0,3890,1.0022770322657328
111.0,104.0,3853,1.0089914000026656
111.0,105.0,3816,1.0157197548568806
111.0,106.0,3780,1.022460044610916
111.0,107.0,3745,1.0292102126354818
111.0,108.0,3710,1.0359682001141133
111.0,109.0,3676,1.0427319482155424
111.0,110.0,3643,1.0494994002113789
111.0,111.0,3610,1.0562685035371124
111.0,112.0,3578,1.063037211794832
111.0,113.0,3546,1.0698034866964896
111.0,114.0,3515,1.076565299946812
111.0,115.0,3484,1.0833206350652906
111.0,116.0,3454,1.0900674891469702
111.0,117.0,3425,1.0968038745619328
111.0,118.0,3396,1.1035278205936394
111.0,119.0,3367,1.110237375016409
111.0,120.0,3339,1.1169306056125063
111.0,121.0,3312,1.1236056016294071
111.0,122.0,3284,1.13026047517789
111.0,123.0,3258,1.136893362571731
111.0,124.0,3231,1.1435024256097772
111.0,125.0,3206,1.1500858528012492
111.0,126.0,3180,1.156641860535146
111.0,127.0,3155,1.1631686941946169
111.0,128.0,3130,1.1696646292171862
111.0,129.0,3106,1.1761279721017124
111.0,130.0,3082,1.182557061362911
111.0,131.0,3059,1.188950268434311
111.0,132.0,3036,1.195305998520412
111.0,133.0,3013,1.2016226913988652
111.0,134.0,2990,1.2078988221733915
111.0,135.0,2968,1.214132901978166
111.0,136.0,2946,1.2203234786343662
111.0,137.0,2925,1.2264691372595202
111.0,138.0,2904,1.232568500830296
111.0,139.0,2883,1.238620230699329
111.0,140.0,2862,1.2446230270666694
111.0,141.0,2842,1.250575629406401
111.0,142.0,2822,1.2564768168489893
111.0,143.0,2802,1.2623254085198823
111.0,144.0,2783,1.268120263834887
111.0,145.0,2763,1.2738602827528493
111.0,146.0,2744,1.2795444059861618
111.0,147.0,2726,1.2851716151696064
111.0,148.0,2707,1.2907409329881037
111.0,149.0,2689,1.2962514232638722
112.0,10.0,40076,0.6196409814647772
112.0,11.0,36432,0.6205589037515884
112.0,12.0,33396,0.621561784427047
112.0,13.0,30827,0.6226490188457229
112.0,14.0,28625,0.6238199759078852
112.0,15.0,26717,0.6250740030575833
112.0,16.0,25047,0.626410431204727
112.0,17.0,23574,0.6278285795174232
112.0,18.0,22264,0.6293277600388458
112.0,19.0,21092,0.6309072820908779
112.0,20.0,20038,0.6325664564344029
112.0,21.0,19083,0.6343045991632464
112.0,22.0,18216,0.6361210353152243
112.0,23.0,17424,0.6380151021894648
112.0,24.0,16698,0.6399861523641195
112.0,25.0,16030,0.6420335564127019
112.0,26.0,15413,0.6441567053206882
112.0,27.0,14842,0.6463550126066773
112.0,28.0,14312,0.64862791615441
112.0,29.0,13819,0.6509748797633736
112.0,30.0,13358,0.653395394426627
112.0,31.0,12927,0.6558889793449243
112.0,32.0,12523,0.65845518268636
112.0,33.0,12144,0.6610935821005035
112.0,34.0,11787,0.6638037849956273
112.0,35.0,11450,0.666585428587023
112.0,36.0,11132,0.6694381797237006
112.0,37.0,10831,0.6723617345000705
112.0,38.0,10546,0.6753558176585154
112.0,39.0,10275,0.6784201817879698
112.0,40.0,10019,0.6815546063232515
112.0,41.0,9774,0.6847588963493166
112.0,42.0,9541,0.6880328812144081
112.0,43.0,9320,0.6913764129560322
112.0,44.0,9108,0.6947893645438319
112.0,45.0,8905,0.6982716279438245
112.0,46.0,8712,0.7018231120090734
112.0,47.0,8526,0.7054437402027417
112.0,48.0,8349,0.7091334481604934
112.0,49.0,8178,0.712892181100439
112.0,50.0,8015,0.7167198910902545
112.0,51.0,7858,0.7206165341825528
112.0,52.0,7706,0.7245820674311724
112.0,53.0,7561,0.7286164458026689
112.0,54.0,7421,0.7327196189988278
112.0,55.0,7286,0.73689152820748
112.0,56.0,7156,0.7411321028003091
112.0,57.0,7030,0.745441256997494
112.0,58.0,6909,0.7498188865199658
112.0,59.0,6792,0.7542648652508241
112.0,60.0,6679,0.7587790419279192
112.0,61.0,6569,0.763361236889673
112.0,62.0,6463,0.7680112388962296
112.0,63.0,6361,0.7727288020474234
112.0,64.0,6261,0.7775136428185043
112.0,65.0,6165,0.7823654372333936
112.0,66.0,6072,0.7872838181941441
112.0,67.0,5981,0.7922683729837138
112.0,68.0,5893,0.7973186409575281
112.0,69.0,5808,0.8024341114374816
112.0,70.0,5725,0.8076142218200513
112.0,71.0,5644,0.8128583559082162
112.0,72.0,5566,0.8181658424747102
112.0,73.0,5489,0.8235359540620848
112.0,74.0,5415,0.8289679060229724
112.0,75.0,5343,0.8344608558018578
112.0,76.0,5273,0.8400139024577468
112.0,77.0,5204,0.8456260864252457
112.0,78.0,5137,0.8512963895097932
112.0,79.0,5072,0.8570237351112301
112.0,80.0,5009,0.862806988668384
112.0,81.0,4947,0.8686449583160748
112.0,82.0,4887,0.8745363957448096
112.0,83.0,4828,0.880479997252451
112.0,84.0,4770,0.8864744049763581
112.0,85.0,4714,0.8925182082938572
112.0,86.0,4660,0.8986099453784163
112.0,87.0,4606,0.9047481048985568
112.0,88.0,4554,0.9109311278464008
112.0,89.0,4502,0.9171574094826243
112.0,90.0,4452,0.9234253013847282
112.0,91.0,4403,0.9297331135856797
112.0,92.0,4356,0.9360791167902736
112.0,93.0,4309,0.9424615446569284
112.0,94.0,4263,0.9488785961330602
112.0,95.0,4218,0.9553284378327261
112.0,96.0,4174,0.9618092064457151
112.0,97.0,4131,0.9683190111679474
112.0,98.0,4089,0.9748559361435929
112.0,99.0,4048,0.9814180429100388
112.0,100.0,4007,0.9880033728374328
112.0,101.0,3967,0.994609949555254
112.0,102.0,3929,1.001235781358967
112.0,103.0,3890,1.0078788635905458
112.0,104.0,3853,1.0145371809871793
112.0,105.0,3816,1.0212087099932
112.0,106.0,3780,1.027891421030795
112.0,107.0,3745,1.034583280725645
112.0,108.0,3710,1.041282254084167
112.0,109.0,3676,1.0479863066195487
112.0,110.0,3643,1.0546934064241953
112.0,111.0,3610,1.0614015261866832
112.0,112.0,3578,1.068108645151659
112.0,113.0,3546,1.074812751021537
112.0,114.0,3515,1.081511841799129
112.0,115.0,3484,1.0882039275706308
112.0,116.0,3454,1.0948870322287014
112.0,117.0,3425,1.1015591951355048
112.0,118.0,3396,1.1082184727258826
112.0,119.0,3367,1.1148629400508911
112.0,120.0,3339,1.121490692262169
112.0,121.0,3312,1.1280998460376515
112.0,122.0,3284,1.134688540949264
112.0,123.0,3258,1.1412549407733277
112.0,124.0,3231,1.1477972347444076
112.0,125.0,3206,1.1543136387534219
112.0,126.0,3180,1.160802396490851
112.0,127.0,3155,1.1672617805358598
112.0,128.0,3130,1.1736900933921897
112.0,129.0,3106,1.1800856684716563
112.0,130.0,3082,1.1864468710260705
112.0,131.0,3059,1.192772099028371
112.0,132.0,3036,1.199059784003773
112.0,133.0,3013,1.205308391811656
112.0,134.0,2990,1.2115164233789304
112.0,135.0,2968,1.2176824153855688
112.0,136.0,2946,1.223804940902972
112.0,137.0,2925,1.2298826099857956
112.0,138.0,2904,1.2359140702178686
112.0,139.0,2883,1.2418980072127692
112.0,140.0,2862,1.247833145069649
112.0,141.0,2842,1.2537182467848333
112.0,142.0,2822,1.2595521146197568
112.0,143.0,2802,1.265333590425752
112.0,144.0,2783,1.2710615559261964
112.0,145.0,2763,1.276734932956579
112.0,146.0,2744,1.2823526836629713
112.0,147.0,2726,1.2879138106594323
112.0,148.0,2707,1.2934173571449243
112.0,149.0,2689,1.2988624069802293
113.0,10.0,40076,0.6271833147092677
113.0,11.0,36432,0.6280973609248387
113.0,12.0,33396,0.6290960570378503
113.0,13.0,30827,0.6301788122870489
113.0,14.0,28625,0.631345009667338
113.0,15.0,26717,0.6325940107563253
113.0,16.0,25047,0.6339251604733543
113.0,17.0,23574,0.635337791718993
113.0,18.0,22264,0.6368312298504916
113.0,19.0,21092,0.638404796956222
113.0,20.0,20038,0.6400578158993486
113.0,21.0,19083,0.6417896141077507
113.0,22.0,18216,0.643599527093396
113.0,23.0,17424,0.6454869016898424
113.0,24.0,16698,0.6474510990013218
113.0,25.0,16030,0.6494914970608613
113.0,26.0,15413,0.6516074931982337
113.0,27.0,14842,0.6537985061211317
113.0,28.0,14312,0.6560639777149889
113.0,29.0,13819,0.6584033745683014
113.0,30.0,13358,0.6608161892312703
113.0,31.0,12927,0.6633019412160969
113.0,32.0,12523,0.6658601777474716
113.0,33.0,12144,0.6684904742716458
113.0,34.0,11787,0.6711924347321849
113.0,35.0,11450,0.6739656916200127
113.0,36.0,11132,0.676809905804731
113.0,37.0,10831,0.6797247661536081
113.0,38.0,10546,0.6827099889440311
113.0,39.0,10275,0.6857653170745244
113.0,40.0,10019,0.6888905190791146
113.0,41.0,9774,0.6920853879493543
113.0,42.0,9541,0.6953497397681695
113.0,43.0,9320,0.6986834121596851
113.0,44.0,9108,0.7020862625594115
113.0,45.0,8905,0.7055581663095312
113.0,46.0,8712,0.7090990145846836
113.0,47.0,8526,0.7127087121545191
113.0,48.0,8349,0.7163871749902487
113.0,49.0,8178,0.720134327723658
113.0,50.0,8015,0.723950100968408
113.0,51.0,7858,0.7278344285148519
113.0,52.0,7706,0.7317872444110886
113.0,53.0,7561,0.7358084799445319
113.0,54.0,7421,0.7398980605397032
113.0,55.0,7286,0.7440559025893442
113.0,56.0,7156,0.748281910237244
113.0,57.0,7030,0.7525759721322491
113.0,58.0,6909,0.7569379581737801
113.0,59.0,6792,0.7613677162698441
113.0,60.0,6679,0.7658650691289518
113.0,61.0,6569,0.7704298111073438
113.0,62.0,6463,0.7750617051328953
113.0,63.0,6361,0.7797604797264468
113.0,64.0,6261,0.7845258261407315
113.0,65.0,6165,0.7893573956359066
113.0,66.0,6072,0.7942547969095975
113.0,67.0,5981,0.7992175936978199
113.0,68.0,5893,0.8042453025615496
113.0,69.0,5808,0.8093373908719275
113.0,70.0,5725,0.8144932750051522
113.0,71.0,5644,0.8197123187562066
113.0,72.0,5566,0.8249938319784474
113.0,73.0,5489,0.8303370694541311
113.0,74.0,5415,0.8357412299989001
113.0,75.0,5343,0.8412054558012874
113.0,76.0,5273,0.84672883199641
113.0,77.0,5204,0.8523103864712411
113.0,78.0,5137,0.8579490898971621
113.0,79.0,5072,0.8636438559839654
113.0,80.0,5009,0.8693935419480695
113.0,81.0,4947,0.8751969491864832
113.0,82.0,4887,0.881052824146954
113.0,83.0,4828,0.8869598593838244
113.0,84.0,4770,0.8929166947883501
113.0,85.0,4714,0.8989219189816495
113.0,86.0,4660,0.9049740708579729
113.0,87.0,4606,0.9110716412656823
113.0,88.0,4554,0.9172130748132146
113.0,89.0,4502,0.923396771787162
113.0,90.0,4452,0.9296210901697826
113.0,91.0,4403,0.9358843477433678
113.0,92.0,4356,0.9421848242692218
113.0,93.0,4309,0.9485207637293176
113.0,94.0,4263,0.9548903766191736
113.0,95.0,4218,0.961291842280987
113.0,96.0,4174,0.9677233112665379
113.0,97.0,4131,0.974182907720072
113.0,98.0,4089,0.980668731771869
113.0,99.0,4048,0.9871788619339154
113.0,100.0,4007,0.9937113574896839
113.0,101.0,3967,1.0002642608707206
113.0,102.0,3929,1.0068356000133152
113.0,103.0,3890,1.0134233906892525
113.0,104.0,3853,1.020025638805137
113.0,105.0,3816,1.0266403426655069
113.0,106.0,3780,1.033265495195427
113.0,107.0,3745,1.0398990861188315
113.0,108.0,3710,1.0465391040894225
113.0,109.0,3676,1.0531835387713584
113.0,110.0,3643,1.0598303828674647
113.0,111.0,3610,1.0664776340930995
113.0,112.0,3578,1.0731232970941615
113.0,113.0,3546,1.079765385308114
113.0,114.0,3515,1.0864019227671913
113.0,115.0,3484,1.0930309458432155
113.0,116.0,3454,1.0996505049337548
113.0,117.0,3425,1.106258666089489
113.0,118.0,3396,1.112853512582929
113.0,119.0,3367,1.1194331464187144
113.0,120.0,3339,1.1259956897859107
113.0,121.0,3312,1.1325392864528172
113.0,122.0,3284,1.1390621031048527
113.0,123.0,3258,1.1455623306262461
113.0,124.0,3231,1.152038185326211
113.0,125.0,3206,1.1584879101103862
113.0,126.0,3180,1.164909775598341
113.0,127.0,3155,1.1713020811879353
113.0,128.0,3130,1.1776631560673334
113.0,129.0,3106,1.183991360175488
113.0,130.0,3082,1.1902850851118718
113.0,131.0,3059,1.1965427549962202
113.0,132.0,3036,1.202762827279046
113.0,133.0,3013,1.208943793503639
113.0,134.0,2990,1.215084180020251
113.0,135.0,2968,1.2211825486531362
113.0,136.0,2946,1.2272374973211004
113.0,137.0,2925,1.233247660612158
113.0,138.0,2904,1.2392117103129219
113.0,139.0,2883,1.2451283558932749
113.0,140.0,2862,1.2509963449468988
113.0,141.0,2842,1.2568144635881942
113.0,142.0,2822,1.2625815368061244
113.0,143.0,2802,1.268296428775517
113.0,144.0,2783,1.273958043126315
113.0,145.0,2763,1.279565323171327
113.0,146.0,2744,1.2851172520929874
113.0,147.0,2726,1.290612853089637
113.0,148.0,2707,1.2960511894818987
113.0,149.0,2689,1.301431364779673
114.0,10.0,40076,0.6347017094400063
114.0,11.0,36432,0.6356118126684047
114.0,12.0,33396,0.6366062488972816
114.0,13.0,30827,0.6376844408086952
114.0,14.0,28625,0.6388457850531031
114.0,15.0,26717,0.6400896569101086
114.0,16.0,25047,0.6414154148895211
114.0,17.0,23574,0.6428224052223946
114.0,18.0,22264,0.64430996619877
114.0,19.0,21092,0.6458774323159304
114.0,20.0,20038,0.6475241382078193
114.0,21.0,19083,0.6492494223327242
114.0,22.0,18216,0.6510526304022137
114.0,23.0,17424,0.652933118539593
114.0,24.0,16698,0.6548902561607314
114.0,25.0,16030,0.6569234285740172
114.0,26.0,15413,0.6590320392994363
114.0,27.0,14842,0.661215512109354
114.0,28.0,14312,0.6634732927955839
114.0,29.0,13819,0.6658048506687968
114.0,30.0,13358,0.6682096797973084
114.0,31.0,12927,0.6706872999928892
114.0,32.0,12523,0.673237257551468
114.0,33.0,12144,0.6758591257565929
114.0,34.0,11787,0.6785525051532528
114.0,35.0,11450,0.6813170235992988
114.0,36.0,11132,0.684152336101156
114.0,37.0,10831,0.6870581244400259
114.0,38.0,10546,0.6900340965942522
114.0,39.0,10275,0.6930799859629301
114.0,40.0,10019,0.6961955503955883
114.0,41.0,9774,0.6993805710323611
114.0,42.0,9541,0.7026348509590014
114.0,43.0,9320,0.7059582136811058
114.0,44.0,9108,0.7093505014221864
114.0,45.0,8905,0.7128115732506126
114.0,46.0,8712,0.7163413030411147
114.0,47.0,8526,0.719939577277376
114.0,48.0,8349,0.7236062927032262
114.0,49.0,8178,0.7273413538311105
114.0,50.0,8015,0.7311446703178301
114.0,51.0,7858,0.7350161542189058
114.0,52.0,7706,0.7389557171343174
114.0,53.0,7561,0.7429632672598714
114.0,54.0,7421,0.7470387063597705
114.0,55.0,7286,0.7511819266772906
114.0,56.0,7156,0.7553928078016517
114.0,57.0,7030,0.7596712135101693
114.0,58.0,6909,0.7640169886055577
114.0,59.0,6792,0.7684299557688304
114.0,60.0,6679,0.7729099124486182
114.0,61.0,6569,0.7774566278076385
114.0,62.0,6463,0.7820698397470075
114.0,63.0,6361,0.7867492520284101
114.0,64.0,6261,0.7914945315135601
114.0,65.0,6165,0.79630530553921
114.0,66.0,6072,0.801181159444896
114.0,67.0,5981,0.8061216342690602
114.0,68.0,5893,0.8111262246276488
114.0,69.0,5808,0.8161943767875319
114.0,70.0,5725,0.821325486945223
114.0,71.0,5644,0.8265188997194959
114.0,72.0,5566,0.8317739068644981
114.0,73.0,5489,0.8370897462080036
114.0,74.0,5415,0.84246560081753
114.0,75.0,5343,0.8479005983951121
114.0,76.0,5273,0.8533938108997169
114.0,77.0,5204,0.8589442543945909
114.0,78.0,5137,0.8645508891151729
114.0,79.0,5072,0.8702126197517818
114.0,80.0,5009,0.875928295939901
114.0,81.0,4947,0.8816967129497313
114.0,82.0,4887,0.8875166125656346
114.0,83.0,4828,0.8933866841452089
114.0,84.0,4770,0.899305565847009
114.0,85.0,4714,0.9052718460153859
114.0,86.0,4660,0.9112840647104441
114.0,87.0,4606,0.9173407153708558
114.0,88.0,4554,0.9234402465971713
114.0,89.0,4502,0.9295810640431055
114.0,90.0,4452,0.9357615324025156
114.0,91.0,4403,0.9419799774798484
114.0,92.0,4356,0.9482346883322067
114.0,93.0,4309,0.9545239194714573
114.0,94.0,4263,0.960845893115286
114.0,95.0,4218,0.9671988014765724
114.0,96.0,4174,0.9735808090809568
114.0,97.0,4131,0.9799900551030956
114.0,98.0,4089,0.986424655712626
114.0,99.0,4048,0.9928827064215391
114.0,100.0,4007,0.9993622844252155
114.0,101.0,3967,1.0058614509300712
114.0,102.0,3929,1.012378253461304
114.0,103.0,3890,1.0189107281449408
114.0,104.0,3853,1.0254569019588515
114.0,105.0,3816,1.032014794948107
114.0,106.0,3780,1.0385824224005045
114.0,107.0,3745,1.0451577969786565
114.0,108.0,3710,1.051738930805549
114.0,109.0,3676,1.0583238375008874
114.0,110.0,3643,1.0649105341660314
114.0,111.0,3610,1.071497043315716
114.0,112.0,3578,1.0780813947550596
114.0,113.0,3546,1.0846616274008098
114.0,114.0,3515,1.091235791045957
114.0,115.0,3484,1.0978019480671906
114.0,116.0,3454,1.1043581750749145
114.0,117.0,3425,1.1109025645056791
114.0,118.0,3396,1.1174332261571565
114.0,119.0,3367,1.123948288665876
114.0,120.0,3339,1.130445900928107
114.0,121.0,3312,1.1369242334643614
114.0,122.0,3284,1.1433814797280795
114.0,123.0,3258,1.1498158573591564
114.0,124.0,3231,1.1562256093829857
114.0,125.0,3206,1.1626090053557459
114.0,126.0,3180,1.1689643424566907
114.0,127.0,3155,1.1752899465282216
114.0,128.0,3130,1.1815841730644727
114.0,129.0,3106,1.1878454081492247
114.0,130.0,3082,1.1940720693438562
114.0,131.0,3059,1.2002626065261162
114.0,132.0,3036,1.206415502680385
114.0,133.0,3013,1.2125292746401746
114.0,134.0,2990,1.2186024737835046
114.0,135.0,2968,1.2246336866818148
114.0,136.0,2946,1.2306215357030494
114.0,137.0,2925,1.2365646795694971
114.0,138.0,2904,1.2424618138709902
114.0,139.0,2883,1.2483116715340106
114.0,140.0,2862,1.2541130232472577
114.0,141.0,2842,1.2598646778442097
114.0,142.0,2822,1.2655654826432072
114.0,143.0,2802,1.2712143237455789
114.0,144.0,2783,1.2768101262923153
114.0,145.0,2763,1.2823518546798236
114.0,146.0,2744,1.287838512735274
114.0,147.0,2726,1.293269143852069
114.0,148.0,2707,1.2986428310859859
114.0,149.0,2689,1.303958697212536
115.0,10.0,40076,0.642195083682569
115.0,11.0,36432,0.6431011784714535
115.0,12.0,33396,0.6440912811661925
